YYYY,MM,DD,HH,tropozone,flux,peak,tp,fire
2004.00,1.00000,8.00000,0.00000,4.40272e+17,2.83005e+16,6.16000,7.95000,0.00000
2004.00,2.00000,2.00000,0.00000,5.08102e+17,2.68288e+16,7.28000,10.3540,0.00000
2004.00,8.00000,11.0000,0.00000,7.89679e+17,1.18440e+16,10.6200,11.1530,1.00000
2005.00,1.00000,13.0000,0.00000,8.60586e+17,1.56776e+16,7.00000,14.0800,0.00000
2005.00,2.00000,3.00000,6.00000,3.75067e+17,3.13330e+16,5.18000,5.80900,0.00000
2005.00,4.00000,14.0000,6.00000,6.44599e+17,1.55736e+16,8.86000,11.8490,0.00000
2005.00,10.0000,26.0000,0.00000,8.47281e+17,4.20033e+16,8.78000,10.3920,1.00000
2005.00,11.0000,3.00000,0.00000,9.00668e+17,8.79290e+15,7.14000,11.9840,1.00000
2005.00,11.0000,8.00000,0.00000,9.59779e+17,1.52546e+16,9.04000,10.4640,1.00000
2005.00,11.0000,17.0000,0.00000,8.58106e+17,1.93171e+16,10.4400,11.2760,1.00000
2006.00,1.00000,5.00000,0.00000,8.90809e+17,1.01499e+16,9.70000,15.4440,0.00000
2006.00,2.00000,3.00000,0.00000,6.49535e+17,1.59731e+16,8.28000,15.6900,0.00000
2006.00,2.00000,17.0000,0.00000,7.51907e+17,2.27112e+16,7.18000,11.1640,0.00000
2006.00,2.00000,22.0000,0.00000,5.87023e+17,2.71885e+16,11.1800,12.3260,0.00000
2006.00,7.00000,20.0000,0.00000,6.34457e+17,1.45801e+16,7.44000,11.0160,0.00000
2006.00,8.00000,9.00000,0.00000,5.83983e+17,1.21691e+16,6.88000,7.68300,0.00000
2006.00,10.0000,16.0000,6.00000,8.77401e+17,1.13342e+16,7.92000,11.2300,1.00000
2007.00,1.00000,4.00000,0.00000,8.96338e+17,1.17303e+16,7.46000,12.9610,0.00000
2007.00,1.00000,12.0000,0.00000,5.55177e+17,2.56710e+16,8.70000,11.2980,0.00000
2007.00,3.00000,15.0000,0.00000,8.33262e+17,3.15401e+16,8.80000,15.8850,0.00000
2007.00,3.00000,21.0000,0.00000,7.58638e+17,3.45419e+16,8.26000,12.7740,0.00000
2007.00,3.00000,28.0000,6.00000,6.78791e+17,1.74902e+16,13.3000,15.0560,0.00000
2007.00,4.00000,13.0000,0.00000,7.73318e+17,2.25832e+16,6.76000,11.8260,0.00000
2007.00,4.00000,20.0000,0.00000,7.30676e+17,7.54109e+15,11.0000,11.9390,0.00000
2007.00,10.0000,17.0000,0.00000,8.58674e+17,7.04983e+15,4.98000,9.79900,1.00000
2007.00,10.0000,31.0000,0.00000,7.40216e+17,2.95134e+16,9.52000,10.7780,1.00000
2008.00,1.00000,18.0000,0.00000,8.52970e+17,2.13680e+16,11.7400,14.6690,0.00000
2008.00,2.00000,21.0000,0.00000,7.35785e+17,1.53128e+16,6.46000,15.0270,0.00000
